scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,872.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,873.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,874.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,875.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,876.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,877.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,878.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,879.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,880.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,881.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,882.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,883.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,884.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,885.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,886.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,887.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,888.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,889.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,890.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,891.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,892.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,893.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,894.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,895.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,896.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,897.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,898.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,899.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,900.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,901.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,902.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,903.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,904.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,905.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,906.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,907.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,908.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,909.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,910.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,911.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,912.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
