scenario,n_port,lam_nm,mm_mode_count,eta_match,eta_ad,eta_internal
3-port,3,800.0,4.23046875,0.6,0.8187307530779818,0.4666765292544496
3-port,3,801.0,4.219912375448293,0.6,0.8187307530779818,0.4666765292544496
3-port,3,802.0,4.209395463958558,0.6,0.8187307530779818,0.4666765292544496
3-port,3,803.0,4.198917819075106,0.6,0.8187307530779818,0.4666765292544496
3-port,3,804.0,4.188479245563228,0.6,0.8187307530779818,0.4666765292544496
3-port,3,805.0,4.178079549400101,0.6,0.8187307530779818,0.4666765292544496
3-port,3,806.0,4.167718537765763,0.6,0.8187307530779818,0.4666765292544496
3-port,3,807.0,4.157396019034195,0.6,0.8187307530779818,0.4666765292544496
3-port,3,808.0,4.147111802764435,0.6,0.8187307530779818,0.4666765292544496
3-port,3,809.0,4.136865699691816,0.6,0.8187307530779818,0.4666765292544496
3-port,3,810.0,4.126657521719251,0.6,0.8187307530779818,0.4666765292544496
3-port,3,811.0,4.11648708190859,0.6,0.8187307530779818,0.4666765292544496
3-port,3,812.0,4.1063541944720825,0.6,0.8187307530779818,0.4666765292544496
3-port,3,813.0,4.0962586747638685,0.6,0.8187307530779818,0.4666765292544496
3-port,3,814.0,4.086200339271592,0.6,0.8187307530779818,0.4666765292544496
3-port,3,815.0,4.076179005608039,0.6,0.8187307530779818,0.4666765292544496
3-port,3,816.0,4.066194492502884,0.6,0.8187307530779818,0.4666765292544496
3-port,3,817.0,4.056246619794484,0.6,0.8187307530779818,0.4666765292544496
3-port,3,818.0,4.046335208421757,0.6,0.8187307530779818,0.4666765292544496
3-port,3,819.0,4.036460080416125,0.6,0.8187307530779818,0.4666765292544496
3-port,3,820.0,4.026621058893515,0.6,0.8187307530779818,0.4666765292544496
3-port,3,821.0,4.016817968046453,0.6,0.8187307530779818,0.4666765292544496
3-port,3,822.0,4.0070506331362,0.6,0.8187307530779818,0.4666765292544496
3-port,3,823.0,3.997318880484964,0.75,0.9048374180359596,0.6446966603506211
3-port,3,824.0,3.9876225374681873,0.75,0.9048374180359596,0.6446966603506211
3-port,3,825.0,3.9779614325068877,0.75,0.9048374180359596,0.6446966603506211
3-port,3,826.0,3.9683353950600635,0.75,0.9048374180359596,0.6446966603506211
3-port,3,827.0,3.9587442556171757,0.75,0.9048374180359596,0.6446966603506211
3-port,3,828.0,3.9491878456906813,0.75,0.9048374180359596,0.6446966603506211
3-port,3,829.0,3.9396659978086284,0.75,0.9048374180359596,0.6446966603506211
3-port,3,830.0,3.9301785455073306,0.75,0.9048374180359596,0.6446966603506211
3-port,3,831.0,3.9207253233240795,0.75,0.9048374180359596,0.6446966603506211
3-port,3,832.0,3.9113061667899407,0.75,0.9048374180359596,0.6446966603506211
3-port,3,833.0,3.901920912422593,0.75,0.9048374180359596,0.6446966603506211
3-port,3,834.0,3.892569397719235,0.75,0.9048374180359596,0.6446966603506211
3-port,3,835.0,3.8832514611495577,0.75,0.9048374180359596,0.6446966603506211
3-port,3,836.0,3.873966942148761,0.75,0.9048374180359596,0.6446966603506211
